stu;nb_polys;nb_smu;area;soil;soil90;text1;text2;slope1;slope2;aglim1;aglim2;mat1;mat2;zmin;zmax;use1;use2;dt;td1;td2;roo;il;wr;wm1;wm2;wm3;cfl
"332760;14;1;1994.5646182;\"Eo\";\"\";2;3;1;3;3;1;\"210\";\"220\";0;300;3;5;5;0;0;3;1;1;2;0;0;\"H\""
"332761;14;1;854.8134078;\"Bk\";\"\";2;3;2;3;3;1;\"210\";\"220\";0;300;3;5;5;0;0;2;1;1;2;0;0;\"H\""
"332762;4;1;192.0499875;\"g\";\"\";9;9;3;4;1;1;\"\";\"\";3000;4800;0;0;5;9;9;4;4;4;2;0;0;\"H\""
"332763;4;1;76.819995;\"I\";\"\";1;0;4;0;3;2;\"700\";\"200\";2000;4800;19;5;5;1;1;4;1;3;2;0;0;\"M\""
"332764;4;1;76.819995;\"U\";\"\";1;0;3;4;3;2;\"700\";\"200\";2000;4800;19;5;5;1;1;3;1;3;2;0;0;\"M\""
"332765;4;1;38.4099975;\"r\";\"\";9;9;3;4;3;2;\"700\";\"200\";2000;4800;19;5;5;9;9;4;1;0;2;0;0;\"M\""
"332766;1;1;36.4601504;\"I\";\"\";1;0;4;0;3;2;\"700\";\"200\";2000;4800;19;5;5;1;1;4;1;3;2;0;0;\"M\""
"332767;1;1;36.4601504;\"U\";\"\";1;0;3;4;3;2;\"700\";\"200\";2000;4800;19;5;5;1;1;3;1;3;2;0;0;\"M\""
"332768;1;1;18.2300752;\"r\";\"\";9;9;3;4;3;2;\"700\";\"200\";2000;4800;19;5;5;9;9;4;1;0;2;0;0;\"M\""
"332769;3;1;68.4031138875;\"Beg\";\"\";4;2;1;2;1;1;\"312\";\"231\";250;450;3;1;2;5;4;1;3;2;1;0;0;\"H\""
"332770;3;1;38.0017299375;\"Lg\";\"\";2;3;1;0;1;1;\"510\";\"\";250;450;3;1;3;4;0;1;3;2;1;0;0;\"H\""
"332771;3;1;22.8010379625;\"Bec\";\"\";4;0;1;2;1;1;\"330\";\"231\";250;450;3;1;5;0;0;1;1;1;1;0;0;\"H\""
"332772;3;1;22.8010379625;\"Be\";\"\";4;0;1;2;1;1;\"330\";\"231\";250;450;3;1;5;0;0;1;1;1;1;0;0;\"H\""
"332778;2;1;65.5875;\"Lo\";\"\";3;2;1;2;1;1;\"520\";\"\";50;150;3;5;5;0;0;1;1;1;2;0;0;\"H\""
"332779;2;1;21.8625;\"Bec\";\"\";3;4;2;3;4;3;\"220\";\"\";50;150;3;5;5;0;0;1;1;1;2;0;0;\"H\""
"332780;2;1;16.396875;\"Be\";\"\";4;5;2;3;3;1;\"330\";\"\";50;150;3;5;2;5;0;1;1;1;2;0;0;\"H\""
"332781;2;1;5.465625;\"Je\";\"\";3;2;1;0;1;1;\"110\";\"\";50;150;3;5;5;0;0;1;2;1;2;0;0;\"H\""
"332782;2;1;186.66198;\"Lo\";\"\";3;0;2;0;1;1;\"520\";\"740\";150;250;1;5;5;0;0;1;2;1;1;0;0;\"M\""
"332783;2;1;145.18154;\"Bd\";\"\";2;0;2;0;1;1;\"510\";\"\";150;250;1;5;5;0;0;1;2;1;2;0;0;\"M\""
"332784;2;1;62.22066;\"Be\";\"\";2;0;2;0;1;1;\"510\";\"\";150;250;1;5;5;0;0;1;2;1;2;0;0;\"M\""
"332785;3;1;548.147928281;\"Bd\";\"\";2;3;2;0;2;1;\"710\";\"740\";0;450;5;1;5;3;0;1;2;1;2;0;0;\"L\""
